# v_p0  v_p1  v_p2
3769162 98133 -213111
2267628 -374478 -7295
3166544 -396447 -45959
2214971 -330472 88256
2662679 -68679 33172
2301622 371252 42384
2634235 -62151 -125382
2942309 95284 -87706
2343382 -107533 83415
1943641 -152296 33736
1694111 108184 114615
3186845 35579 -55282
2794493 -130544 -41336
4281259 -493671 -108579
2900537 -327049 -37944
3022316 142239 17098
2178841 -119872 55891
2653070 175500 24531
2189430 -274050 67676
3188084 -186081 -141002
1881715 -681324 146760
2718987 -270338 43769
3542894 -233190 -93911
2086673 -53923 16847
2137640 -38971 97514
2212033 175347 64166
2078573 -142549 69178
2398972 -134680 -26139
1932362 -70185 64070
1662623 225959 190023
2078959 -13590 98183
2113689 251340 10880
2000058 176140 65581
3890164 315526 -68656
2193539 69552 46672
4398624 -278586 -91989
2378362 257780 40102
2642579 -494467 149539
3587157 94604 -71024
4884414 128268 -256594
4148819 264237 -172552
4942814 -278393 -169732
3654501 -99192 -121561
3638879 -95966 -33775
3453403 -300378 12911
3218102 -423246 -69534
4319322 -225322 -279923
4172459 -288564 -243179
4356785 70160 -240187
4744951 -549759 -303394
4829180 282560 -231678
4958242 545259 -262867
3812100 856698 -34886
4527847 520997 -218938
4418733 162949 -189644
3859467 234646 -72301
2702304 71614 47020
2522918 -200914 -11555
2275169 -2561 -42784
2214350 -63343 -15649
2256617 -218538 -29356
2037830 -206397 45749
3528612 -80270 -81755
2497607 269486 -77693
2217530 705619 57283
2448572 -22628 27504
1955109 141336 46594
2818222 -321912 -24694
3365738 -319058 -23127
2835619 220201 -74480
2214286 156203 -10744
2740845 322289 -57897
2340146 287589 -237
1937445 -25997 158012
1489961 -421232 205963
1959167 -24828 113607
1968860 -268337 124258
1668855 -72241 24276
1907140 -73899 45157
2473211 -119914 9714
3695623 -394099 -243455
1778460 -333900 50264
2600663 -436714 17754
1982102 -154640 85859
2715714 -48799 -11777
2979577 309902 -97110
2303725 -272627 -56275
2859843 -47409 -42623
